ppt,group,attitude,trustworthiness,credibility,evaluation
138,affected,5.214285714285714,4,3.857142857142857,2.1666666666666665
139,affected,4.571428571428571,4.642857142857143,2.857142857142857,2.6666666666666665
140,affected,2.142857142857143,5.428571428571429,3.4285714285714284,3.6666666666666665
141,not_affected,2.357142857142857,4.857142857142857,4.285714285714286,2.0833333333333335
142,affected,3.928571428571429,4.357142857142857,4.428571428571429,3.1666666666666665
143,not_affected,2.357142857142857,4.928571428571429,3.857142857142857,3.4166666666666665
144,not_affected,4.357142857142857,4.428571428571429,4.714285714285714,3.3333333333333335
145,affected,3,3.2857142857142856,2.142857142857143,3.6666666666666665
146,not_affected,3.2857142857142856,4.785714285714286,4.142857142857143,3.25
147,affected,5.642857142857143,5.428571428571429,5.571428571428571,2
148,not_affected,2.2857142857142856,5,4,2.75
149,affected,4,5.214285714285714,4.571428571428571,2.4166666666666665
150,not_affected,4.214285714285714,4.357142857142857,3.857142857142857,3.3333333333333335
151,affected,4.428571428571429,4.785714285714286,4.571428571428571,1.75
152,not_affected,4.714285714285714,4.571428571428571,4.142857142857143,3.4166666666666665
153,not_affected,4.5,5.214285714285714,4.428571428571429,2.3333333333333335
154,affected,2.2142857142857144,4.071428571428571,2.7142857142857144,3.5
155,affected,5.142857142857143,4.857142857142857,3.857142857142857,3.0833333333333335
156,not_affected,5.5,5.071428571428571,5,2.75
157,affected,4.5,5,4.285714285714286,2.75
158,not_affected,3.7857142857142856,2.7857142857142856,2.7142857142857144,3.3333333333333335
159,affected,5.785714285714286,5.571428571428571,5,2.9166666666666665
160,affected,4.857142857142857,5,5.571428571428571,1.75
161,not_affected,4.642857142857143,5.5,3.857142857142857,2.25
162,not_affected,3.4285714285714284,5.428571428571429,4.714285714285714,3.9166666666666665
163,affected,5.928571428571429,5.428571428571429,5.428571428571429,1.9166666666666667
164,affected,2.2857142857142856,4.642857142857143,3.857142857142857,2.9166666666666665
165,not_affected,4.428571428571429,5.428571428571429,5.428571428571429,2.4166666666666665
166,affected,3.7142857142857144,5.071428571428571,5.142857142857143,2.8333333333333335
167,not_affected,2.857142857142857,5,3.7142857142857144,2.75
168,affected,4.285714285714286,4.857142857142857,4.428571428571429,2.5833333333333335
169,not_affected,5.071428571428571,5.428571428571429,4,2.1666666666666665
170,not_affected,4.428571428571429,2.4285714285714284,1.5714285714285714,2.5833333333333335
171,affected,3.5714285714285716,4.071428571428571,2.857142857142857,3.0833333333333335
172,affected,4.071428571428571,4.857142857142857,3.142857142857143,3.1666666666666665
173,not_affected,4.357142857142857,5,4.714285714285714,1.9166666666666667
174,affected,4.714285714285714,4.428571428571429,3.857142857142857,2.8333333333333335
175,not_affected,5.857142857142857,4.5,3.5714285714285716,3.5
176,affected,5.142857142857143,5.928571428571429,5.285714285714286,1.1666666666666667
177,not_affected,2.2857142857142856,4.928571428571429,4.428571428571429,3.0833333333333335
178,affected,5.857142857142857,3.0714285714285716,2.4285714285714284,2.6666666666666665
179,not_affected,3.857142857142857,5.071428571428571,4,3.5
180,not_affected,4,5.214285714285714,3.857142857142857,1.8333333333333333
181,not_affected,4.428571428571429,5,5,2.25
182,not_affected,1.5714285714285714,4.785714285714286,4.571428571428571,3.1666666666666665
183,not_affected,3.5,4.285714285714286,3.857142857142857,3.3333333333333335
184,affected,2.7142857142857144,4.928571428571429,4,3.8333333333333335
185,affected,3.0714285714285716,4.857142857142857,4.285714285714286,3.3333333333333335
186,not_affected,5.142857142857143,3.5714285714285716,4.142857142857143,3
187,affected,4.785714285714286,4.642857142857143,4.142857142857143,3.5833333333333335
188,not_affected,2.4285714285714284,4.428571428571429,3.7142857142857144,3.3333333333333335
189,not_affected,4,5.571428571428571,4.857142857142857,2.25
190,affected,3.357142857142857,4.142857142857143,3.142857142857143,3.6666666666666665
191,not_affected,4.714285714285714,5.5,4.857142857142857,3.0833333333333335
192,affected,5.214285714285714,4.642857142857143,4.428571428571429,2.8333333333333335
193,affected,2.5,4.357142857142857,2.857142857142857,4.25
194,not_affected,4.571428571428571,4.428571428571429,3.2857142857142856,2.0833333333333335
195,affected,2.4285714285714284,6,5.285714285714286,3.6666666666666665
196,affected,5.785714285714286,5.785714285714286,4.285714285714286,1.8333333333333333
197,not_affected,2.7142857142857144,5.785714285714286,4.857142857142857,1.9166666666666667
198,not_affected,3.857142857142857,4.285714285714286,3.4285714285714284,3.3333333333333335
199,affected,3.2857142857142856,5.071428571428571,3.142857142857143,2.5833333333333335
200,not_affected,5.071428571428571,4.714285714285714,4,1.8333333333333333
201,affected,4.285714285714286,4.642857142857143,3.4285714285714284,2.75
202,affected,5.928571428571429,3.7857142857142856,4.428571428571429,2.4166666666666665
203,not_affected,4.785714285714286,4.928571428571429,5,2
204,affected,4.571428571428571,5.357142857142857,4.571428571428571,2.5833333333333335
205,not_affected,2.5,4.857142857142857,4.285714285714286,3.0833333333333335
206,affected,4.357142857142857,5.214285714285714,4.142857142857143,3.1666666666666665
207,not_affected,3.142857142857143,4.571428571428571,3.857142857142857,3.25
208,affected,2.857142857142857,4.642857142857143,3.4285714285714284,3.8333333333333335
209,affected,4.5,5,3.857142857142857,2.5833333333333335
210,not_affected,5.214285714285714,5,4.571428571428571,2.9166666666666665
211,affected,4.714285714285714,4.642857142857143,4.285714285714286,2.25
212,affected,5.214285714285714,4.5,4.285714285714286,2.1666666666666665
213,affected,2,4.857142857142857,4.142857142857143,2.9166666666666665
214,not_affected,5,4.571428571428571,4.285714285714286,3.0833333333333335
215,affected,4,3.7857142857142856,3.7142857142857144,3.25
216,not_affected,5.785714285714286,2.357142857142857,2,3.75
217,not_affected,5.428571428571429,5.428571428571429,5.428571428571429,2.1666666666666665
218,affected,1.3571428571428572,2.357142857142857,1.2857142857142858,4.75
219,not_affected,4.142857142857143,5.714285714285714,6,1.9166666666666667
220,affected,4.714285714285714,4.571428571428571,3.2857142857142856,2.3333333333333335
221,affected,3.2857142857142856,4.357142857142857,3.2857142857142856,3.75
222,affected,5.571428571428571,5.428571428571429,4.714285714285714,2.25
