comfort,mental_health_pre,mental_health_since,wellbeing_since,gender,age,partner,species,loneliness_pre,loneliness_since
48,20,20,13,female,25_34,living_partner,dog,3,4
48,21,22,16,female,55_64,living_partner,dog,3,3
48,22,20,14,female,45_54,not_living_partner,dog,3,3
48,21,20,24,female,55_64,living_partner,cat,4,4
47,21,21,19,female,65_70,living_partner,dog,6,6
44,21,20,22,female,45_54,not_living_partner,dog,4,6
45,20,20,27,female,55_64,not_living_partner,dog,3,7
44,22,21,19,female,55_64,living_partner,dog,3,4
48,17,17,16,female,45_54,living_partner,cat,6,3
48,21,20,15,female,65_70,not_living_partner,dog,4,4
48,19,20,16,female,55_64,not_living_partner,dog,3,3
31,21,21,21,female,65_70,not_living_partner,dog,3,3
48,20,22,13,female,45_54,not_living_partner,dog,6,7
48,22,25,16,female,55_64,living_partner,dog,3,3
48,19,20,12,female,45_54,not_living_partner,dog,5,5
43,21,22,16,female,45_54,living_partner,dog,4,3
45,21,17,26,male,70_over,living_partner,dog,3,9
44,16,20,17,female,25_34,living_partner,dog,3,4
48,18,19,19,female,25_34,not_living_partner,dog,3,3
48,21,21,14,female,55_64,living_partner,cat,4,3
48,22,22,11,female,65_70,not_living_partner,cat,4,3
41,21,21,16,female,45_54,living_partner,dog,3,3
46,18,18,24,female,25_34,not_living_partner,dog,5,6
48,18,18,21,female,25_34,not_living_partner,dog,5,5
41,21,22,17,female,45_54,living_partner,dog,4,6
48,21,20,16,female,65_70,not_living_partner,dog,8,7
35,22,22,16,female,45_54,living_partner,dog,3,3
48,21,21,22,female,45_54,living_partner,dog,3,3
48,20,20,16,female,45_54,living_partner,dog,3,4
42,19,18,18,female,45_54,living_partner,dog,5,5
48,21,18,20,male,45_54,living_partner,cat,5,4
38,21,18,22,female,25_34,living_partner,cat,4,6
46,22,17,22,female,35_44,living_partner,dog,6,7
12,21,20,26,female,65_70,not_living_partner,dog,4,9
48,20,19,24,female,25_34,living_partner,dog,6,6
31,23,23,18,female,45_54,living_partner,dog,3,3
43,23,23,19,female,35_44,living_partner,dog,3,5
