age,gender,sportype,perabil,cheating,gamesman,commit,conven,task,ego
13.06,1,0,43,9,16,22,19,30,28
14.42,0,0,31,13,22,18,20,27,26
14.93,1,1,31,6,23,22,14,29,18
15.72,1,1,44,25,24,25,25,34,30
13.75,1,0,39,11,15,21,24,25,20
13.03,1,1,40,8,13,23,19,31,19
13.4,0,0,38,8,16,18,17,35,35
12.62,1,1,21,6,7,16,25,34,27
13.55,0,1,47,15,26,25,25,34,32
12.34,1,1,40,18,21,20,16,28,25
14.31,1,0,45,19,28,16,17,27,28
14.19,0,0,43,9,15,16,22,25,26
15.47,0,0,37,6,17,20,24,27,22
13.85,1,1,43,14,20,22,21,29,26
14.56,1,1,48,6,17,24,23,35,16
14.74,0,1,30,6,13,17,23,24,13
14.85,1,1,37,19,23,25,25,30,30
12.79,1,1,40,7,15,22,20,29,29
12.93,0,0,40,11,18,20,19,27,22
12.75,1,1,41,20,30,25,23,35,28
15.41,0,1,36,18,20,19,25,31,20
13.85,1,0,43,6,12,19,21,27,24
13.48,0,0,36,15,18,20,25,31,21
14.15,1,1,45,10,14,25,24,35,9
14.54,1,1,40,25,23,14,16,24,26
12.13,1,1,33,6,11,18,20,30,18
14.64,0,0,31,11,13,19,14,24,20
14.49,1,1,34,6,15,18,22,31,28
14.72,0,0,45,6,20,21,23,32,30
15.62,1,1,41,7,14,23,24,32,21
12.13,1,1,43,6,10,24,25,30,18
12.54,0,1,38,10,22,22,21,30,19
12.17,0,0,32,6,10,18,18,22,17
14.37,1,1,45,14,27,20,18,29,21
15.25,0,1,32,9,14,18,16,33,24
15.82,1,1,41,16,25,20,18,28,21
15.88,1,1,38,13,35,21,20,29,25
14.69,1,1,49,10,18,25,24,35,33
14.46,0,1,44,6,16,24,24,31,30
13.4,0,0,35,7,10,20,20,32,29
15.02,1,1,40,22,31,25,16,31,21
13.96,0,1,37,12,23,25,20,30,25
13.62,0,1,43,6,13,24,23,35,25
15.68,0,1,41,11,14,20,20,26,16
15.62,1,0,45,6,14,24,25,34,16
14.32,1,1,37,6,25,24,23,34,30
14.57,0,1,47,6,11,23,25,34,21
12.92,1,1,41,10,23,22,25,30,16
14.08,1,1,42,8,17,24,22,33,22
13.22,1,1,35,22,25,23,24,29,20
13.28,1,0,46,6,9,25,25,35,16
14.47,0,1,46,6,12,24,23,34,31
14.64,1,1,37,15,17,22,19,30,23
13.68,0,0,38,10,15,19,23,33,24
14.7,0,1,30,20,18,11,16,21,26
15.78,1,1,35,6,23,21,20,28,24
13.63,1,0,44,6,11,25,22,35,7
13.79,1,1,33,7,9,24,24,30,23
12.07,0,0,36,10,11,21,23,31,18
13.85,1,0,41,6,9,23,24,32,18
13.34,0,0,36,6,10,24,20,32,19
13.68,1,1,35,11,18,20,19,31,26
13.69,1,1,47,24,28,20,20,35,35
15.39,0,1,40,6,12,24,24,35,20
15.68,0,0,40,15,21,22,18,34,32
13.57,1,1,36,12,23,21,19,30,21
13.35,0,0,33,12,15,19,16,25,23
15.61,0,0,48,6,12,25,24,35,14
14.64,1,1,37,18,24,18,19,31,27
15.03,1,0,40,9,17,17,18,24,18
12.45,1,1,43,6,10,24,25,34,26
12.88,1,1,43,17,20,22,20,30,23
14.69,0,1,40,9,24,21,16,30,27
14.2,1,1,43,6,21,24,20,34,20
12.92,1,1,44,6,12,23,24,28,27
14.97,0,1,31,6,18,19,20,27,19
15.62,1,1,34,12,27,20,18,27,24
14.93,0,1,33,14,19,21,19,26,15
13.93,0,1,35,7,18,21,22,27,16
14.05,1,1,40,6,25,24,23,30,22
15.03,1,1,32,12,19,18,19,27,17
14.61,0,1,41,6,12,24,16,33,20
13.63,1,0,31,6,19,21,21,28,24
13.63,0,1,44,9,23,25,24,35,29
13.33,0,1,29,21,29,24,21,34,25
