age,gender,concern,exaggerate,behaviour,urgency,responsibility,pay,hedonism,nuclear
26,1,3,3,2,2,2,3,2,5
60,1,3,2,4,3,4,5,2,3
36,1,3,2,3,2,2,2,3,3
59,1,3,2,4,4,3,5,2,3
38,0,3,2,2,4,2,5,2,5
72,1,3,1,3,3,3,3,2,1
60,1,2,4,4,4,2,4,2,4
64,0,2,3,2,3,2,3,3,5
38,0,4,1,2,5,2,5,2,5
18,1,2,4,2,2,2,2,4,3
62,1,2,2,2,2,2,2,4,3
77,0,2,3,1,1,1,4,3,3
53,1,3,3,2,3,2,4,2,2
41,0,2,4,4,2,2,4,2,3
62,0,2,4,2,4,2,4,1,2
41,1,2,2,2,2,2,5,1,5
32,1,2,3,2,2,2,3,4,4
47,0,2,3,3,3,3,2,2,1
20,0,1,4,1,2,1,2,3,3
55,0,1,4,2,2,1,2,2,2
21,0,1,4,2,1,1,3,4,5
70,1,2,2,5,2,3,2,1,2
24,0,2,4,1,2,1,2,3,3
22,1,3,4,2,4,2,4,4,5
47,1,1,4,1,1,1,1,2,1
60,0,3,2,4,4,3,2,2,2
62,1,4,1,5,5,5,5,3,2
39,1,1,3,2,1,2,2,3,1
19,0,2,2,2,1,2,1,4,1
61,1,1,3,2,3,3,3,3,1
73,1,1,4,2,4,2,4,3,1
45,1,3,5,3,4,4,4,3,3
65,1,3,3,2,4,4,2,2,1
77,0,3,2,5,5,5,3,4,2
23,1,1,4,2,1,2,4,2,3
77,0,2,5,5,2,1,5,4,4
52,0,3,2,2,3,2,3,3,4
22,0,2,4,2,2,2,3,3,4
81,0,1,3,2,2,2,2,2,3
18,1,3,2,3,4,3,4,4,4
26,0,3,2,3,4,4,4,3,4
55,0,2,4,2,4,2,2,2,4
36,1,2,4,2,2,2,3,2,2
63,0,2,3,4,4,2,2,4,1
77,1,2,3,4,3,3,5,2,2
71,0,2,2,3,3,1,1,2,3
21,1,4,2,5,3,2,2,2,5
73,1,2,2,5,3,2,4,2,1
75,1,1,4,4,2,3,2,1,3
66,0,3,2,4,4,2,2,2,2
62,0,2,2,3,3,2,1,3,2
46,1,2,2,3,4,2,5,3,2
30,0,2,2,1,1,2,2,3,5
23,0,2,2,2,4,2,5,2,3
35,1,2,3,2,2,2,1,2,2
54,1,1,5,1,1,1,2,2,4
63,1,4,4,3,3,3,3,2,1
44,1,1,5,1,2,1,2,4,4
16,1,1,2,2,4,2,2,3,4
36,0,3,1,4,2,3,4,3,4
16,1,1,4,3,3,2,4,5,2
52,1,1,5,2,2,2,2,3,2
26,0,2,4,2,3,2,2,3,4
57,1,1,5,2,4,1,2,4,1
79,1,1,3,2,2,2,3,4,3
43,0,3,1,5,4,2,5,1,1
41,0,1,4,2,1,1,2,2,4
30,0,2,3,3,2,3,3,3,3
38,1,2,5,5,2,4,4,2,1
